age,education,employment,income,marital,children,housing,vehicle,health,region
27,high_school,employed,middle,married,0,rent,0,good,urban
30,vocational,employed,middle,married,1,rent,0,good,urban
66,bachelor,retired,middle,married,2_plus,owned,1,poor,urban
19,high_school,employed,middle,single,1,rent,1,good,urban
22,bachelor,student,low,single,0,mortgage,0,good,suburban
47,vocational,self_employed,middle,married,2_plus,mortgage,1,fair,urban
32,vocational,employed,middle,single,0,rent,1,good,urban
25,bachelor,employed,middle,single,0,rent,1,good,urban
60,vocational,self_employed,low,separated,2_plus,owned,0,fair,rural
27,postgraduate,self_employed,middle,single,0,rent,2_plus,fair,rural
39,bachelor,employed,middle,married,1,mortgage,0,good,rural
40,vocational,self_employed,high,married,2_plus,owned,0,good,urban
37,bachelor,employed,low,married,0,rent,2_plus,good,suburban
46,bachelor,employed,high,married,2_plus,owned,2_plus,fair,suburban
29,postgraduate,employed,high,married,0,rent,2_plus,fair,urban
70,high_school,unemployed,low,single,0,owned,0,good,rural
46,postgraduate,employed,low,separated,0,mortgage,0,poor,urban
50,vocational,retired,low,married,1,mortgage,0,fair,urban
60,bachelor,employed,middle,single,1,mortgage,0,poor,urban
40,vocational,unemployed,low,married,2_plus,rent,0,good,suburban
29,high_school,self_employed,low,single,0,mortgage,1,fair,rural
58,bachelor,employed,middle,married,2_plus,mortgage,1,good,urban
47,bachelor,employed,middle,married,0,owned,0,good,urban
41,postgraduate,self_employed,middle,single,0,mortgage,0,good,urban
34,bachelor,employed,low,married,1,mortgage,0,poor,rural
43,postgraduate,employed,middle,single,0,mortgage,1,good,suburban
36,bachelor,employed,middle,single,0,rent,0,good,urban
65,vocational,employed,low,married,2_plus,owned,1,poor,suburban
44,postgraduate,self_employed,high,married,0,rent,2_plus,fair,urban
20,postgraduate,employed,middle,single,0,rent,2_plus,good,urban
41,high_school,employed,middle,married,0,owned,1,good,rural
34,bachelor,employed,middle,single,0,mortgage,0,fair,urban
39,bachelor,employed,high,married,1,mortgage,2_plus,fair,urban
66,postgraduate,retired,middle,married,1,owned,1,poor,suburban
48,vocational,unemployed,middle,married,2_plus,owned,1,poor,rural
52,vocational,employed,middle,single,0,owned,2_plus,good,rural
42,vocational,employed,middle,married,0,rent,1,fair,suburban
62,high_school,employed,middle,single,2_plus,owned,1,good,rural
73,vocational,retired,low,separated,0,owned,0,fair,rural
32,vocational,employed,low,single,0,rent,1,good,rural
50,vocational,employed,high,married,2_plus,owned,2_plus,poor,suburban
50,high_school,employed,low,separated,2_plus,owned,0,good,suburban
64,postgraduate,employed,middle,single,2_plus,owned,1,poor,urban
56,bachelor,unemployed,high,married,2_plus,owned,1,fair,rural
40,postgraduate,employed,middle,married,2_plus,mortgage,1,poor,rural
62,postgraduate,self_employed,middle,separated,2_plus,owned,0,good,urban
41,high_school,employed,middle,married,1,mortgage,1,poor,urban
26,bachelor,employed,high,separated,2_plus,owned,1,good,rural
37,high_school,self_employed,low,married,2_plus,rent,1,good,rural
44,high_school,employed,middle,married,1,mortgage,1,good,urban
38,vocational,employed,high,married,1,owned,1,good,rural
39,bachelor,employed,middle,separated,2_plus,mortgage,0,fair,urban
26,high_school,retired,middle,single,0,mortgage,2_plus,fair,rural
39,high_school,employed,middle,single,0,owned,0,good,rural
78,vocational,self_employed,low,married,2_plus,rent,0,poor,suburban
44,postgraduate,employed,low,married,2_plus,mortgage,1,good,urban
37,bachelor,employed,high,married,0,owned,1,fair,urban
76,bachelor,retired,middle,married,2_plus,owned,2_plus,poor,urban
54,bachelor,employed,middle,single,2_plus,rent,0,poor,suburban
19,high_school,student,low,single,0,rent,1,good,rural
31,vocational,unemployed,low,married,2_plus,rent,1,good,urban
53,high_school,employed,low,married,2_plus,owned,0,good,suburban
33,vocational,self_employed,low,married,1,rent,0,fair,rural
65,vocational,retired,middle,married,0,owned,1,poor,suburban
30,bachelor,employed,high,married,0,rent,2_plus,good,urban
47,vocational,employed,high,married,2_plus,mortgage,2_plus,poor,suburban
55,vocational,student,low,single,1,mortgage,0,good,urban
31,bachelor,employed,high,single,0,owned,2_plus,fair,urban
68,vocational,employed,high,single,0,owned,2_plus,fair,rural
62,vocational,employed,high,married,1,owned,2_plus,fair,rural
60,bachelor,self_employed,middle,single,0,mortgage,0,fair,suburban
71,vocational,retired,low,separated,2_plus,mortgage,1,poor,suburban
61,bachelor,retired,low,married,2_plus,rent,1,good,urban
39,bachelor,employed,middle,single,0,rent,2_plus,good,suburban
19,high_school,student,low,separated,2_plus,rent,0,good,suburban
31,bachelor,employed,middle,single,0,rent,1,good,suburban
27,bachelor,employed,low,married,0,rent,1,good,urban
32,high_school,employed,middle,married,2_plus,owned,2_plus,good,rural
32,bachelor,employed,middle,single,0,rent,2_plus,good,urban
58,high_school,employed,middle,separated,1,rent,1,fair,suburban
54,bachelor,employed,high,separated,2_plus,owned,2_plus,fair,urban
48,bachelor,retired,low,married,0,owned,0,good,rural
43,vocational,employed,middle,married,2_plus,mortgage,1,good,suburban
60,bachelor,self_employed,low,single,0,owned,0,fair,suburban
85,postgraduate,employed,middle,single,0,rent,1,fair,urban
54,vocational,employed,low,married,2_plus,owned,0,fair,urban
54,high_school,employed,middle,married,2_plus,mortgage,1,good,suburban
39,vocational,unemployed,middle,married,2_plus,rent,0,good,urban
53,bachelor,employed,high,single,0,mortgage,1,good,urban
78,bachelor,employed,low,married,2_plus,owned,0,poor,urban
64,vocational,employed,middle,married,2_plus,mortgage,0,fair,suburban
38,high_school,employed,middle,single,1,owned,0,good,suburban
30,vocational,employed,middle,married,2_plus,rent,2_plus,good,suburban
29,vocational,employed,middle,married,1,mortgage,2_plus,good,urban
64,vocational,employed,middle,married,0,rent,0,good,urban
46,bachelor,self_employed,high,married,2_plus,mortgage,2_plus,good,rural
39,postgraduate,employed,middle,married,2_plus,rent,0,good,suburban
27,high_school,employed,low,single,0,rent,1,fair,rural
44,bachelor,employed,middle,single,2_plus,mortgage,1,good,urban
28,vocational,employed,low,married,0,rent,0,fair,suburban
35,vocational,employed,middle,married,2_plus,rent,1,good,suburban
47,vocational,employed,middle,married,1,mortgage,1,good,urban
61,high_school,student,low,single,0,mortgage,0,good,urban
49,vocational,employed,middle,separated,2_plus,mortgage,1,good,urban
48,postgraduate,employed,low,single,1,mortgage,1,good,suburban
41,vocational,employed,middle,married,1,mortgage,1,fair,rural
32,high_school,unemployed,middle,married,1,mortgage,1,good,urban
52,bachelor,retired,low,separated,2_plus,mortgage,1,good,suburban
41,vocational,employed,middle,married,2_plus,rent,2_plus,good,rural
41,bachelor,employed,middle,married,2_plus,rent,2_plus,good,suburban
41,high_school,employed,low,single,0,owned,0,good,urban
42,bachelor,employed,high,single,2_plus,owned,1,good,urban
45,postgraduate,employed,middle,single,1,mortgage,2_plus,fair,rural
42,high_school,unemployed,low,married,1,rent,1,good,suburban
43,high_school,unemployed,low,married,2_plus,owned,0,good,rural
28,postgraduate,employed,middle,married,0,owned,0,fair,urban
43,bachelor,employed,middle,married,2_plus,mortgage,1,good,suburban
80,postgraduate,retired,middle,single,2_plus,owned,2_plus,fair,suburban
42,bachelor,employed,low,married,1,owned,0,fair,urban
20,bachelor,student,high,single,0,mortgage,2_plus,good,urban
68,bachelor,retired,middle,separated,2_plus,owned,1,poor,suburban
64,vocational,employed,high,single,2_plus,owned,1,good,urban
61,postgraduate,self_employed,middle,separated,2_plus,mortgage,1,good,urban
27,postgraduate,retired,low,single,0,mortgage,2_plus,good,rural
24,bachelor,employed,low,single,0,mortgage,0,good,urban
27,vocational,unemployed,low,married,1,rent,0,fair,urban
31,high_school,employed,low,single,0,rent,0,good,rural
42,postgraduate,retired,middle,married,2_plus,mortgage,0,good,suburban
34,postgraduate,employed,middle,single,0,rent,0,fair,urban
39,bachelor,employed,high,married,0,owned,2_plus,fair,suburban
41,bachelor,employed,middle,married,2_plus,rent,1,good,urban
58,postgraduate,employed,middle,married,2_plus,owned,1,fair,suburban
46,postgraduate,employed,high,married,1,owned,1,fair,urban
27,high_school,unemployed,low,separated,2_plus,rent,0,fair,urban
48,vocational,employed,middle,married,0,mortgage,1,good,urban
43,bachelor,employed,middle,separated,0,mortgage,2_plus,fair,rural
72,high_school,retired,middle,separated,1,owned,1,fair,urban
34,bachelor,employed,low,single,0,owned,0,good,suburban
32,bachelor,employed,middle,single,0,mortgage,0,good,rural
19,bachelor,student,low,married,0,rent,0,good,suburban
24,bachelor,unemployed,low,separated,0,rent,1,good,urban
62,high_school,employed,high,single,0,owned,2_plus,good,suburban
38,bachelor,employed,high,married,1,owned,1,good,urban
26,bachelor,employed,high,married,0,rent,2_plus,fair,rural
60,vocational,employed,middle,single,0,mortgage,2_plus,good,rural
34,vocational,employed,low,single,1,rent,1,fair,suburban
48,postgraduate,employed,middle,married,2_plus,owned,1,good,urban
44,high_school,employed,high,married,2_plus,owned,1,good,urban
47,bachelor,unemployed,low,married,2_plus,owned,0,fair,urban
61,postgraduate,employed,middle,married,2_plus,owned,0,fair,urban
20,high_school,employed,low,single,0,rent,0,good,urban
29,postgraduate,student,middle,single,0,rent,1,good,suburban
